m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20286857712368436,0.5732706753544182,4.848258633573934,6.136743489410875,6.136743861441502,6.136743793664138,6.136743930141094,6.136743880111609,2.663312280746979,2.6688342551478144,2.636074407786438,2.67264682660236,2.659840431415361,0.5883913463950923
5.0,0.3,0.81,0.2,0.04,0.22527136734281034,0.6924134445673209,4.437813190233861,5.896850016667791,5.896850025288437,5.896850023690455,5.896850026860953,5.89685002571408,2.1311572542034227,2.1323994767188523,2.1249326831496873,2.1332534441074458,2.130372923863284,0.43335275398228296
5.0,0.3,0.82,0.2,0.04,0.22539465928517077,0.6922812807815207,3.9035345814025604,5.622181879415471,5.62218187963375,5.622181879611013,5.622181879681499,5.622181879656033,1.6370205782357843,1.6372835833970711,1.635696856076116,1.6374641637961176,1.6368543200713574,0.4805547601692419
5.0,0.3,0.83,0.2,0.04,0.2255153298592055,0.6921372685870355,3.2373303953389367,5.2783127742426,5.2783127742426,5.2783127742426,5.2783127742426,5.2783127742426,1.1925608502013674,1.192616009692152,1.1922829061189404,1.192653870206719,1.1925259702728326,0.5716016084089782
5.0,0.3,0.84,0.2,0.04,0.22563899875026353,0.69198339514791,3.1846382929214414,5.249425458033635,5.249425458033635,5.249425458033635,5.249425458033635,5.249425458033635,1.1613387872087841,1.16139309422109,1.161065143714346,1.161430369695914,1.1613044465601305,0.5800242295393502
5.0,0.3,0.85,0.2,0.04,0.22575923527992048,0.6918336629856979,3.1333229681320844,5.2208828985588625,5.2208828985588625,5.2208828985588625,5.2208828985588625,5.2208828985588625,1.1312807894158468,1.1313343113759728,1.1310111060141352,1.1313710482252972,1.1312469452648983,0.5883522703804894
5.0,0.3,0.86,0.2,0.04,0.22587617706907362,0.6916879283940424,3.0833817919986686,5.192682640032068,5.192682640032068,5.192682640032068,5.192682640032068,5.192682640032068,1.1023189943274119,1.1023717937399269,1.1020529559353562,1.102408034795495,1.102285607208465,0.5966375298947525
5.0,0.3,0.87,0.2,0.04,0.22598992713629856,0.6915460538775035,3.0348068466776894,5.164822102755657,5.164822102755657,5.164822102755657,5.164822102755657,5.164822102755657,1.0743903672613087,1.0744425021346942,1.074127681712831,1.0744782871896277,1.0743574005794798,0.6049220589692094
5.0,0.3,0.88,0.2,0.04,0.2261005807345116,0.6914079078602231,2.9875854987670536,5.137298664267142,5.1372986642826035,5.1372986642826035,5.1372986642826035,5.1372986642826035,1.0474363460251297,1.0474878700122972,1.0471767422294178,1.047523235902041,1.0474037657612243,0.6132379812205865
5.0,0.3,0.89,0.2,0.04,0.22620825405144349,0.6912733643998276,2.9417009650704458,5.110109723944184,5.110109723944184,5.110109723944184,5.110109723944184,5.110109723944184,1.0214025187895786,1.0214534817744934,1.0211457450321504,1.0214884627988212,1.0213702932377018,0.6216078225734333
5.0,0.3,0.9,0.2,0.04,0.22631306306414423,0.6911423029110056,2.8971328627811417,5.083252750778534,5.083252750778534,5.083252750778534,5.083252750834468,5.083252750834468,0.9962383297987216,0.9962887783443293,0.9959841521311645,0.9963234063028139,0.9962064298841469,0.6300452035747619
5.0,0.3,0.91,0.2,0.04,0.22641509831306347,0.6910146078973325,2.8538577364341435,5.056725315478467,5.056725315478467,5.056725315478467,5.056725315478467,5.056725315478467,0.9718968082396131,0.9719467854041213,0.9716450088142992,0.9719810900190495,0.9718652064587658,0.6385557684719717
5.0,0.3,0.92,0.2,0.04,0.22651443885702985,0.6908901686937556,2.8118495548445352,5.030525107761001,5.030525107886966,5.030525107886966,5.030525107886966,5.030525107886966,0.9483343149584798,0.9483838610657003,0.9480846907989289,0.9484178698124524,0.9483029858877998,0.6471382465693822
5.0,0.3,0.93,0.2,0.04,0.2266111758926337,0.6907688792204857,2.7710801748924823,5.004649942296815,5.004649942296815,5.004649942296815,5.004649942296815,5.004649942296815,0.9255103063008718,0.9255594587023879,0.9252626681867113,0.9255931975279381,0.9254792261397924,0.6557855636465777
5.0,0.3,0.94,0.2,0.04,0.22670540907998543,0.6906506377479701,2.73151976830453,4.979097753459733,4.979097753459733,4.979097753459733,4.979097753459733,4.979097753459733,0.9033871118566239,0.9034359057903529,0.9031412832963142,0.9034693985930389,0.9033562585699073,0.6644859405066407
5.0,0.3,0.95,0.2,0.04,0.2267972256735053,0.6905353466744224,2.6931372106617673,4.9538665844646275,4.953866584526018,4.953866584526018,4.953866584526018,4.953866584526018,0.8819297259541017,0.881978194034069,0.8816855420203282,0.882011463272498,0.8818990787625225,0.6732239346709817
